   SNAP_ID INSTANCE_NUMBER SGA_TARGET_GB SIZE_FACTOR ESTD_PHYSICAL_READS LEAD_READ_DIFF
---------- --------------- ------------- ----------- ------------------- --------------
log_archive_dest_4
log_archive_dest_5
log_archive_dest_6
log_archive_dest_7
log_archive_dest_8
log_archive_dest_9
log_archive_dest_state_1                                         enable
log_archive_dest_state_10                                        enable
log_archive_dest_state_11                                        enable
log_archive_dest_state_12                                        enable
log_archive_dest_state_13                                        enable
log_archive_dest_state_14                                        enable
log_archive_dest_state_15                                        enable
log_archive_dest_state_16                                        enable
log_archive_dest_state_17                                        enable
log_archive_dest_state_18                                        enable
log_archive_dest_state_19                                        enable
log_archive_dest_state_2                                         ENABLE
log_archive_dest_state_20                                        enable
log_archive_dest_state_21                                        enable
log_archive_dest_state_22                                        enable
log_archive_dest_state_23                                        enable
log_archive_dest_state_24                                        enable
log_archive_dest_state_25                                        enable
log_archive_dest_state_26                                        enable
log_archive_dest_state_27                                        enable
log_archive_dest_state_28                                        enable
log_archive_dest_state_29                                        enable
log_archive_dest_state_3                                         enable
log_archive_dest_state_30                                        enable
log_archive_dest_state_31                                        enable
log_archive_dest_state_4                                         enable
log_archive_dest_state_5                                         enable
log_archive_dest_state_6                                         enable
